Metric,Sub-Metric,Signal Category,Signal,Positive Indicator,Negative Indicator
Burnout,Exhaustion,Cognitive Exhaustion,Recall,Accurately retrieves details and past context (“I remember we decided that last quarter.”),Frequently forgets recent decisions or details (“I can’t recall what we agreed on.”)
Burnout,Exhaustion,Cognitive Exhaustion,Sustained Attention,Maintains focus for extended discussions without prompting (“I’ve been following this thread the whole time.”),Loses focus quickly; message thread drifts (“I zoned out halfway through your point.”)
Burnout,Exhaustion,Cognitive Exhaustion,Decision Speed,Makes routine choices promptly (“Let’s proceed with option B now.”),Hesitates or delays simple decisions (“I’m not sure which to pick; can I sleep on it?”)
Burnout,Exhaustion,Cognitive Exhaustion,Problem Solving,"Offers multiple solutions rapidly when issues arise (“We could A, B, or C to resolve that.”)",Struggles to propose or refine solutions; stalls when challenges emerge
Burnout,Exhaustion,Cognitive Exhaustion,Working Memory,"Juggles several tasks or details in mind (“I’m tracking tasks X, Y, and Z.”)",Drops threads when context shifts; misses steps in multi-part tasks
Burnout,Exhaustion,Cognitive Exhaustion,Idea Fluency,Generates varied ideas quickly during brainstorming (“Here are five fresh angles we could explore.”),Experiences mental blocks; only offers one idea or repeats the same thought
Burnout,Exhaustion,Cognitive Exhaustion,Task Switching,Smoothly transitions between topics or projects without losing context,Gets overwhelmed when switching tasks (“I’m all over the place trying to switch gears.”)
Burnout,Exhaustion,Cognitive Exhaustion,Information Processing,Interprets new information swiftly and integrates it (“I understood that update right away.”),Reads the same message repeatedly to comprehend; slow to grasp new inputs
Burnout,Exhaustion,Cognitive Exhaustion,Cognitive Endurance,Sustains mental effort over long sessions (“I’m still sharp after this two-hour workshop.”),Becomes mentally drained in short intervals; can’t maintain effort beyond brief periods
Burnout,Exhaustion,Cognitive Exhaustion,Mental Load Management,Balances new info with ongoing tasks without overload,Shows overwhelm when too many items are introduced; drops or neglects some tasks
Burnout,Exhaustion,Cognitive Exhaustion,Cognitive Flexibility,"Adapts thinking when plans change; pivots strategies fluidly (“Given the new data, let’s try a different model.”)",Resists adjusting approach when circumstances shift
Burnout,Exhaustion,Cognitive Exhaustion,Error Detection,Quickly spots inconsistencies or typos in posts (“I caught that typo before it went out.”),Misses obvious mistakes or logical flaws in messages (“I didn’t even see that error until later.”)
Burnout,Exhaustion,Cognitive Exhaustion,Clarification Seeking,Asks targeted questions only when genuinely needed (“Can you clarify which file you mean?”),"Repeatedly requests clarifications for simple points, indicating poor initial comprehension"
Burnout,Exhaustion,Cognitive Exhaustion,Follow-Through,"References and follows up on earlier points (“As I noted two days ago, we still need to…” )",Fails to circle back on key items or action requests (“I never heard back about my question from yesterday.”)
Burnout,Exhaustion,Cognitive Exhaustion,Learning Responsiveness,Quickly applies new feedback or info (“Got it—updated the deck as you suggested.”),Struggles to incorporate feedback; repeats mistakes (“I still did it the old way even after your suggestion.”)
Burnout,Exhaustion,Physical Exhaustion,Energy Levels,Reports feeling energized and ready to tackle work (“I’ve got plenty of energy today.”),"Describes being wiped out or “running on empty” (“I’m completely wiped,” “I need a nap.”)"
Burnout,Exhaustion,Physical Exhaustion,Comfort,Mentions being physically comfortable or pain-free (“My back feels fine today.”),"Complains of headaches, muscle aches, tension (“My shoulders are killing me.”)"
Burnout,Exhaustion,Physical Exhaustion,Sleep Quality,"Refers to restful, sufficient sleep (“I slept like a log last night and feel great.”)","Notes insomnia, oversleeping, or unrefreshing sleep (“I still feel tired after eight hours.”)"
Burnout,Exhaustion,Physical Exhaustion,Recovery Speed,Bounces back quickly after breaks or time off (“I feel refreshed after my weekend away.”),Takes excessive time to recover energy after a break; still sluggish afterward
Burnout,Exhaustion,Physical Exhaustion,Break Frequency,Takes regular short breaks and returns promptly (“Stepping away for a quick stretch—back in 5.”),Frequently steps away for extended periods or skips returning (“Be right back… been gone a while.”)
Burnout,Exhaustion,Physical Exhaustion,Hydration/Eating,Mentions staying hydrated or well-fed (“Just grabbed my coffee—feeling good.”),Notes skipping meals or dehydration (“I haven’t eaten since morning and I’m dragging.”)
Burnout,Exhaustion,Physical Exhaustion,Self-care,Talks about intentional self-care actions (“Scheduled a walk after this meeting.”),Ignores self-care suggestions or reports none (“I haven’t had time to move today.”)
Burnout,Exhaustion,Physical Exhaustion,Movement Needs,Mentions feeling mobile and limber (“Feeling agile after that stretch.”),Expresses need to stretch or move due to stiffness (“I need to get up and walk around.”)
Burnout,Exhaustion,Physical Exhaustion,Workspace Comfort,Notes that their workspace is supportive (“My desk setup is helping my posture.”),Describes uncomfortable workspace causing fatigue (“My chair is dreadful—so tired of this posture.”)
Burnout,Exhaustion,Physical Exhaustion,End-of-Day Fatigue,Wraps up with upbeat sign-offs (“Great session—feel ready for tomorrow!”),Signs off early or comments on feeling spent at day’s end (“That’s all I can do today—I’m beat.”)
Burnout,Exhaustion,Emotional Exhaustion,Emotional Energy,Expresses eagerness or vitality (“I’m really looking forward to this next step!”),Conveys feeling drained or flat (“I have no emotional energy left for this.”)
Burnout,Exhaustion,Emotional Exhaustion,Mood Stability,"Maintains a consistent, balanced tone throughout discussions","Shows abrupt shifts in mood or frequent irritability (“I was fine, and now I’m suddenly furious.”)"
Burnout,Exhaustion,Emotional Exhaustion,Engagement,"Actively responds with supportive or affirmative language (“That makes sense, I’m on board.”)","Uses minimal or disengaged replies (“Okay,” “Sure,” with no further comment)"
Burnout,Exhaustion,Emotional Exhaustion,Stress Tolerance,"Discusses pressure calmly and constructively (“Tight deadline, but we’ll handle it methodically.”)",Reacts to stress with panic or defeatist remarks (“I can’t handle another urgent request.”)
Burnout,Exhaustion,Emotional Exhaustion,Empathy Display,Offers understanding or concern (“That sounds stressful—let me know how I can help.”),Fails to acknowledge others’ feelings or offers no support when they express distress
Burnout,Exhaustion,Emotional Exhaustion,Enthusiasm,Uses exclamation or upbeat phrasing (“This is awesome—can’t wait to dive in!”),"Uses flat or resigned language (“I guess we’ll do it, if we have to.”)"
Burnout,Exhaustion,Emotional Exhaustion,Emotional Sharing,Opens up about feelings appropriately (“I’m feeling a bit overwhelmed today.”),Avoids any mention of emotions or dismisses them (“Let’s stick to facts—no feelings.”)
Burnout,Exhaustion,Emotional Exhaustion,Gratitude Expression,Says “thank you” or acknowledges help (“Thanks for stepping up on that.”),Omits any thanks or recognition when others assist
Burnout,Exhaustion,Emotional Exhaustion,Support Seeking,Asks for help or input when needed (“Can someone give me feedback on this?”),Refuses offers of assistance or never asks for help even when struggling
Burnout,Exhaustion,Emotional Exhaustion,Appreciation Giving,Compliments teammates’ efforts (“Great work on that presentation!”),Fails to recognize or comment on others’ contributions
Burnout,Exhaustion,Emotional Exhaustion,Emotional Regulation,"Acknowledges emotions but reins them in (“I’m upset, but let’s keep going.”)",Lets emotions dominate communication (“I’m so angry I can’t even think straight.”)
Burnout,Exhaustion,Emotional Exhaustion,Negative Tone,Rarely uses negative descriptors; focuses on solutions,Uses complaint-heavy language or constant criticism (“Everything here is a disaster.”)
Burnout,Exhaustion,Emotional Exhaustion,Venting Frequency,Shares frustrations rarely and briefly,"Frequently vents frustrations without segue into problem-solving (“This is so frustrating, ugh!”)"
Burnout,Exhaustion,Emotional Exhaustion,Positive Framing,"Frames challenges constructively (“This is tough, but it’s an opportunity to learn.”)",Frames situations pessimistically (“This will never work; it’s pointless to try.”)
